retrieval_gt,qid,query,generation_gt
[['3fe5fce0-48b7-40d9-b37f-546272c33dba']],ff0c77b5-97f4-4487-8dc4-9910f13f8941,"뇌출혈진단특약(무배당, 해약환급금 미지급형)의 지급사유가 발생하지 않아 더 이상 보험금을 지급할 필요가 없을 때, 이 특약은 어떻게 처리되나요?","['이 특약은 그때부터 효력이 없습니다. 다만, 취소 또는 철회된 경우에는 주계약이 무효가 됩니다.']"
[['bbb410bf-6d7d-4846-a9d0-7d3ae07595ad']],d01cf9fa-793e-4448-850a-bc51360742d2,"신한간편가입큐브종합건강보장보험(무배당, 해약환급금 미지급형)의 가입금액 기준은 어떻게 되는가?",['100만원. (가입금액 100만원)']
[['4531329a-03fa-455b-99ee-b0074a340809']],5be036d7-1ff3-4b35-b3f4-b9de0d3f1a1b,보험금 지급기간 중 사망하였을 경우나 주계약이 해지되었을 때 발생하는 경우에 대한 특약의 효력은 어떻게 되는가?,"['해당 특약은 그때부터 효력이 없으며, 회사가 적립한 사망당시의 계약자 적립액을 보험자에게 지급합니다.']"
[['34a8f74d-607d-4b3c-8a39-0035a799759d']],3f4326ee-22f9-4632-989b-3251b46e7946,어떤 경우에는 질병의심소견이란 해당하는가?,['의사가 진단서나 소견서 또는 진료의뢰서 등을 서면으로 소견서 포함하여 교부한 경우에 해당합니다.']
[['3a37c018-88be-43bd-9344-0ad07d1b4f66']],97d763fb-0a43-4dce-8266-a46ad78bec5a,다음 상품의 피보험자로 지정할 수 있는 대상은 누구인가요?,['단체의 규약에서 명시된 상속인이나 피보험자가 될 수 있습니다.']
[['0099a514-c018-4c8e-a53e-e872dd729d9d']],9f038db6-59c6-4613-97e5-247e10da672c,입원급여금의 사용일수는 각각 어떤 기준으로 최고 한도로 정해지는가?,['각 보장계약별 입원급여금의 사용일수는 1회 입원당 180일을 최고 한도로 정해집니다.']
[['e142f3bc-1852-40c9-933d-9599c6748e9e']],dcbe5253-0734-4a25-a9bd-0ccd25958604,"첫날부터중환자실입원특약(무배당, 갱신형)의 중환자실입원급여금은 어떤 기준으로 지급되는가?","['가입금액 100만원 기준으로 입원일수 1일당 1만원씩 지급되며, 1회 입원당 최대 60일까지 받을 수 있습니다.']"
[['ee35de5e-1838-4934-a942-d02555f36163']],a8aee164-a64a-4672-8f15-0743fed8b368,신한간편가입큐브종합건강보장보험 무배당 해약환급금 - 미지급형의 보험가입금액은 어떻게 결정되는가?,['신한간편가입큐브종합건강보장보험 무배당 해약환급금 - 미지급형의 보험가입금액은 상품인 등에 따라 일반심사보험을 간편심사보험보다 낮게 결정할 수 있다.']
[['1733aceb-f4c2-4eac-9311-bded1455a12d']],bfe22c97-503d-456d-8c86-7cbf8ddd186f,간편 일반암진단특약 무배당 해약환급금 + (간편)일반암진단특약Plus(무배당)의 보험종목의 명칭은 무엇인가?,"['일반형, 신한큐브종합건강보장보험(무배당).']"
[['abb83e85-e475-4fd7-99b5-db31e79efea9']],2b064ef8-0061-41ae-bda3-648eb678d934,이 특약의 피보험자가 특약보험기간 중 사망한 경우에 회사가 적립한 사망당 피보험자가 사망한 산출방법서에서 정하는 바에 따라 어떻게 처리되나요?,['회사는 적립액을 계약자에게 지급합니다. 계약일로부터 90일 이내에 지급됩니다.']
[['dc900dd6-12e8-4fb8-af4a-55b78505825e']],4d10ed3a-4130-4774-b91d-2c79e2d2cc4d,이 상품은 피보험자가 사망할 경우 어떤 형태의 지급이 이루어지는가?,"['사망시 계약자적립액 지급형으로, 계약자적립액을 지급하지 않고 낮은 보험료로 계약자적립액을 대신 지급하는 상품입니다.']"
[['868931f9-f3f4-4f5e-acfb-2f4a6ace916e']],c085dd06-bef0-4d53-90ed-aa6c3120e047,신한생명 1436 상품의 특약에는 어떤 내용이 포함되어 있는가?,['간편진심을품은3대질병보장특약(무배당)이 포함되어 있습니다.']
[['4ea7b3ee-ae64-48e4-b49a-8ca04067cad7']],7dc4a2a5-e70e-46e7-8faa-33dbd7a57d78,계약일부터 1년이 되는 시점의 계약해당일의 전날까지는 어떤 시점을 의미하는가?,['최초계약의 계약일부터 1년이 되는 시점까지의 기간을 의미한다.']
[['9c931f83-b8cb-4b0b-be52-70b9bc9ca33f']],a67261ee-5d83-417d-98af-0b67aaf359c0,"(간편)암직접치료상급종합병원통원특약(무배당, 갱신형)의 가입금액은 얼마인가요?",['100만원.']
[['550997b9-66eb-4155-bc3b-201d11a6ca60']],db61d235-7ac9-4b31-a1e7-d3ce46ce09b0,4종 보장계약의 가입금액은 얼마인가?,"['5,000만원.']"
[['f7534d7d-c699-46c3-8149-0eefaf9ff23d']],92559740-c16b-4ef2-b95c-d9ed3f63bba3,남자 40세의 경우 종신 보험에 대해 연 20년 납입하는 일반형의 지급금액은 어떻게 되는가?,['사망시 지급금은 남자 40세의 경우 종신 보험에 대해 연 20년 납입하는 일반형에서는 납입보험료와 납입금의 누계에 따라 결정된다.']
[['aec1332f-1c36-41fe-972d-1c659b28a867']],af94e66c-4e2a-4145-b3a4-c8403e0c5c28,암수술특약에서 일시금으로 지급받을 수 있는 금액은 어떻게 결정되는가?,['할인한 된 평균공시이율로 적용한 보험료 중 큰 금액을 일시금으로 지급받을 수 있습니다.']
[['04f2592a-658a-41be-a6cc-a23a568e1779']],9522c05f-2b59-4b5a-88b1-04ab7723df7b,특약보험기간 중 피보험자가 사망한 경우에는 어떤 사망당시 계약자적립액을 회사가 지급하나요?,['특약보험기간 중 피보험자가 사망한 경우에는 산출방법서에서 정하는 바에 따라 회사가 적립한 사망당시 계약자적립액을 계약자에게 지급합니다.']
[['32ff53a1-f35e-480a-984f-ebd4ae8a0d7d']],a9236257-d87b-4b19-8b3e-b46d21e0b505,특약보험료 납입기간 중 어떤 경우에 이 특약의 차회 이후 보험료 납입이 면제되는가?,"['주계약의 보험료 납입면제가 ""보험료의 납입을 면제하는 특약""에 의해 납입면제가 된 경우.']"
[['2412c45f-95a0-4a40-b243-dd0e05d78e32']],78edb07c-1cfa-4d0b-83b6-e6466124f2a3,"표적항암약물허가치료특약에서 제외되는 종류의 ""암""은 무엇인가?","['""기타피부암, 갑상선암, 대장점막내암, 및 비침습방광암""을 제외한 ""암""을 말합니다.']"
[['3617b4ee-2eb7-496f-9e48-786b376cab56']],d4e3e625-0d55-46e1-b182-43d5be4f5434,"""특정순환계질환 종"" 중에서 진단확정으로 보상 받을 수 있는 종류는 몇 가지인가?",['3가지 종류(1종~3종)입니다.']
[['92279035-61d2-47ff-8dda-7c3e1c58f91f']],08a1fd99-aa39-4389-9ff3-1c5af9f1a064,뇌전증 분류표의 표 번호는 몇 번인가?,"['1,589.']"
[['c3944586-5583-41a7-a98d-1456a15c406d']],d91994f2-5d83-4d95-99a9-6e598859aa20,최종 암 입원급여금은 어떤 경우에 지급되지 않는가?,['보험기간 만료일까지 동일한 질병을 초과한 경우에는 365일을 초과한 날부터 지급되지 않는다.']
[['e869fe31-e7ac-4912-977f-618c12265ad1']],6569d2e9-ed37-44b1-8a70-101e4e6476c0,제휴업체 회원을 대상으로 보험계약이 이루어질 경우 상품명 앞에 어떤 정보를 넣어야 하는가?,['제휴업체명.']
[['1a327670-5be6-447a-be7c-28bd7a98e53f']],e7917549-7e58-4614-9965-fb8202c486c6,SHINHAN LIFE 1326 상품의 특약은 무엇인가요?,"['(간편)항암세기조절방사선치료특약(무배당, 갱신형) 1327.']"
[['88d72977-5993-45f3-b95c-33f62bcad496']],126ebd6b-88c3-455f-845a-6d60bc6de4f6,이륜자동차나 전동킥보드를 포함한 개인형 이동장치를 보험계약 체결 시 기재해야 하는 것은 무엇인가요?,['보험계약 체결 후 이륜자동차나 전동킥보드 등을 기재하여야 합니다.']
[['ca3e4f13-704b-4163-9d81-53b00de0f7e1']],77a44ccb-9989-4e48-b511-80a90705958c,간호간병통합서비스사용입원특약 무배당 갱신형 갱신형)의 보험종목의 명칭은 무엇인가?,"['간호간병통합서비스사용입원특약(무배당, 갱신형).']"
[['93bd6da8-ad1e-4c84-b8f5-61e36ff461f0']],a8abd7fc-8900-40c9-aeeb-853ebd5c46e7,신한 생명 1126 상품은 어떤 특약을 가지고 있는가?,"['(간편)중증질환자[심장질환]산정특례대상보장특약(무배당, 갱신형)을 가지고 있습니다.']"
[['dc89e1ef-5d80-4408-b087-7c5394c85c71']],400c6477-2d63-4e03-b397-14eb2176c05c,중증질환자[뇌혈관질환]산정특례대상에 해당하는 수술 또는 진료를 받은 날을 기준으로 어떻게 적용하나요?,['중증질환자[뇌혈관질환]산정특례대상에 해당하는 수술 또는 진료를 받은 날을 기준으로 적용합니다.']
